date,wildfires
2/18/10,1
3/19/10,1
3/20/10,1
3/24/10,1
5/5/10,1
5/6/10,1
5/7/10,1
5/14/10,1
6/8/10,1
6/14/10,1
6/18/10,1
7/26/10,1
8/19/10,1
9/16/10,1
9/17/10,1
10/21/10,1
11/6/10,1
11/15/10,1
11/16/10,1
11/17/10,1
1/20/11,1
5/3/11,1
5/4/11,1
5/5/11,1
9/3/11,1
10/12/11,1
10/14/11,1
10/18/11,1
10/19/11,1
10/26/11,1
11/2/11,1
11/4/11,1
11/7/11,1
11/8/11,1
11/9/11,1
11/10/11,1
11/11/11,1
11/13/11,1
11/16/11,1
12/31/11,1
1/16/12,1
2/24/12,1
4/23/12,1
4/28/12,1
5/16/12,1
5/28/12,1
8/2/12,1
8/6/12,1
8/7/12,1
8/8/12,1
8/9/12,1
8/10/12,1
8/11/12,1
8/12/12,1
8/13/12,1
8/14/12,1
8/15/12,1
8/16/12,1
8/17/12,1
8/18/12,1
8/19/12,1
8/20/12,1
8/21/12,1
8/22/12,1
8/23/12,1
8/24/12,1
8/25/12,1
8/26/12,1
8/27/12,1
8/28/12,1
8/29/12,1
8/30/12,1
8/31/12,1
9/1/12,1
9/2/12,1
9/3/12,1
9/4/12,1
9/5/12,1
9/6/12,1
9/7/12,1
9/10/12,1
9/11/12,1
9/12/12,1
10/30/12,1
11/6/12,1
11/15/12,1
1/30/13,1
2/17/13,1
2/18/13,1
2/24/13,1
2/26/13,1
2/27/13,1
2/28/13,1
3/16/13,1
4/20/13,1
4/21/13,1
7/9/13,1
9/4/13,1
9/9/13,1
9/11/13,1
10/3/13,1
10/24/13,1
10/27/13,1
11/7/13,1
11/14/13,1
11/23/13,1
11/24/13,1
11/25/13,1
12/13/13,1
12/15/13,1
1/10/14,1
1/30/14,1
2/20/14,1
2/21/14,1
2/22/14,1
2/23/14,1
2/24/14,1
2/25/14,1
3/15/14,1
3/16/14,1
3/17/14,1
3/18/14,1
3/19/14,1
3/20/14,1
5/15/14,1
5/29/14,1
7/12/14,1
7/13/14,1
7/14/14,1
7/15/14,1
7/16/14,1
7/17/14,1
7/18/14,1
7/19/14,1
7/20/14,1
7/31/14,1
8/1/14,1
8/2/14,1
8/3/14,1
8/6/14,1
8/7/14,1
8/8/14,1
8/9/14,1
9/4/14,1
9/10/14,1
10/22/14,1
10/24/14,1
10/29/14,1
11/16/14,1
11/17/14,1
11/18/14,1
3/9/15,1
4/2/15,1
4/3/15,1
4/4/15,1
8/6/15,1
8/7/15,1
8/8/15,1
8/9/15,1
8/10/15,1
8/13/15,1
8/14/15,1
8/15/15,1
8/16/15,1
8/17/15,1
8/18/15,1
8/19/15,1
8/20/15,1
8/21/15,1
10/23/15,1
10/24/15,1
10/26/15,1
11/23/15,1
3/2/16,1
3/29/16,1
4/7/16,1
4/8/16,1
4/18/16,1
5/11/16,1
5/12/16,1
8/9/16,1
9/13/16,1
10/12/16,1
11/2/16,1
12/1/16,1
5/15/17,1
5/18/17,1
7/13/17,1
8/31/17,1
9/1/17,1
9/2/17,1
9/3/17,1
9/4/17,1
9/5/17,1
9/6/17,1
9/12/17,1
9/13/17,1
9/15/17,1
9/17/17,1
9/25/17,1
9/27/17,1
9/28/17,1
10/29/17,1
10/30/17,1
10/31/17,1
12/20/17,1
2/15/18,1
4/22/18,1
4/23/18,1
4/24/18,1
6/24/18,1
6/25/18,1
7/24/18,1
7/25/18,1
7/26/18,1
7/27/18,1
7/28/18,1
7/29/18,1
7/30/18,1
7/31/18,1
8/2/18,1
8/3/18,1
8/4/18,1
8/5/18,1
8/6/18,1
8/7/18,1
8/8/18,1
8/9/18,1
8/10/18,1
8/11/18,1
8/12/18,1
8/13/18,1
8/14/18,1
8/15/18,1
8/16/18,1
8/17/18,1
8/18/18,1
8/19/18,1
8/20/18,1
8/21/18,1
8/22/18,1
8/23/18,1
8/24/18,1
8/25/18,1
8/26/18,1
8/27/18,1
8/28/18,1
8/29/18,1
8/30/18,1
8/31/18,1
9/1/18,1
9/2/18,1
9/3/18,1
9/4/18,1
9/5/18,1
9/6/18,1
9/7/18,1
9/8/18,1
9/9/18,1
9/10/18,1
9/11/18,1
9/12/18,1
9/13/18,1
9/14/18,1
9/15/18,1
9/16/18,1
9/17/18,1
9/18/18,1
9/19/18,1
9/20/18,1
9/21/18,1
9/26/18,1
9/27/18,1
9/28/18,1
9/29/18,1
10/12/18,1
10/13/18,1
10/23/18,1
11/4/18,1
11/5/18,1
11/24/18,1
11/25/18,1
4/25/19,1
5/2/19,1
5/7/19,1
5/25/19,1
6/3/19,1
7/5/19,1
7/9/19,1
7/11/19,1
8/22/19,1
10/21/19,1
10/23/19,1
10/24/19,1
11/22/19,1
12/28/19,1
12/30/19,1
2/7/20,1
2/12/20,1
2/13/20,1
2/14/20,1
2/16/20,1
2/18/20,1
2/20/20,1
2/21/20,1
2/22/20,1
2/23/20,1
2/25/20,1
2/28/20,1
2/29/20,1
4/24/20,1
4/25/20,1
6/19/20,1
8/2/20,1
8/3/20,1
8/4/20,1
8/19/20,1
8/20/20,1
8/21/20,1
8/22/20,1
8/23/20,1
9/28/20,1
9/29/20,1
9/30/20,1
10/1/20,1
10/2/20,1
10/3/20,1
10/4/20,1
10/5/20,1
10/25/20,1
11/5/20,1
11/19/20,1
11/20/20,1
11/24/20,1
12/14/20,1
12/23/20,1
2/7/21,1
2/16/21,1
2/25/21,1
2/27/21,1
3/2/21,1
3/3/21,1
3/4/21,1
3/11/21,1
3/13/21,1
3/16/21,1
3/23/21,1
3/24/21,1
3/27/21,1
3/29/21,1
4/7/21,1
4/8/21,1
4/15/21,1
6/1/21,1
7/1/21,1
7/2/21,1
7/3/21,1
7/4/21,1
7/5/21,1
7/31/21,1
8/1/21,1
8/2/21,1
8/3/21,1
8/4/21,1
8/5/21,1
8/6/21,1
8/7/21,1
8/8/21,1
8/9/21,1
8/10/21,1
8/11/21,1
8/12/21,1
8/13/21,1
8/14/21,1
8/15/21,1
8/16/21,1
8/17/21,1
8/18/21,1
8/19/21,1
8/20/21,1
8/21/21,1
8/22/21,1
8/23/21,1
8/24/21,1
8/25/21,1
8/26/21,1
8/27/21,1
8/28/21,1
8/29/21,1
8/30/21,1
8/31/21,1
9/1/21,1
9/2/21,1
9/3/21,1
9/4/21,1
9/5/21,1
9/6/21,1
9/7/21,1
9/8/21,1
9/9/21,1
9/10/21,1
9/11/21,1
9/12/21,1
9/13/21,1
9/14/21,1
9/15/21,1
9/16/21,1
9/17/21,1
9/18/21,1
9/21/21,1
9/23/21,1
9/24/21,1
9/25/21,1
9/26/21,1
10/11/21,1
10/12/21,1
11/8/21,1
11/14/21,1
11/15/21,1
11/16/21,1
11/28/21,1
11/29/21,1
12/1/21,1
12/2/21,1
12/3/21,1
12/10/21,1